#ISSUEDATE,EXPIREDATE,ISSUEWFO,MESSAGEID,MESSAGETYPE,WARNINGTYPE
2015-02-02 00:25:00.0,2015-02-02 01:15:00.0,KJAN,20025,WUUS54,SEVERE THUNDERSTORM
2015-02-02 00:26:00.0,2015-02-02 01:00:00.0,KHGX,20026,WHUS54,SPECIAL MARINE
2015-02-02 00:40:00.0,2015-02-02 01:30:00.0,KJAN,20040,WUUS54,SEVERE THUNDERSTORM
2015-02-02 00:54:00.0,2015-02-02 01:45:00.0,KJAN,20054,WUUS54,SEVERE THUNDERSTORM
2015-02-02 01:02:00.0,2015-02-02 01:30:00.0,KBMX,20102,WUUS54,SEVERE THUNDERSTORM
2015-02-02 01:19:00.0,2015-02-02 02:15:00.0,KMOB,20119,WUUS54,SEVERE THUNDERSTORM
2015-02-02 01:29:00.0,2015-02-02 02:00:00.0,KBMX,20129,WUUS54,SEVERE THUNDERSTORM
2015-02-02 15:48:00.0,2015-02-02 17:15:00.0,KLWX,21548,WHUS51,SPECIAL MARINE
2015-02-02 16:45:00.0,2015-02-02 17:30:00.0,KAKQ,21645,WHUS51,SPECIAL MARINE
2015-02-02 16:49:00.0,2015-02-02 17:30:00.0,KAKQ,21649,WUUS51,SEVERE THUNDERSTORM
2015-02-02 17:13:00.0,2015-02-02 18:15:00.0,KAKQ,21713,WHUS51,SPECIAL MARINE
2015-02-02 17:25:00.0,2015-02-02 18:15:00.0,KAKQ,21725,WUUS51,SEVERE THUNDERSTORM
2015-02-02 17:32:00.0,2015-02-02 18:00:00.0,KAKQ,21732,WHUS51,SPECIAL MARINE
2015-02-02 17:51:00.0,2015-02-02 18:45:00.0,KAKQ,21751,WHUS51,SPECIAL MARINE
2015-02-02 18:01:00.0,2015-02-02 18:30:00.0,KAKQ,21801,WUUS51,SEVERE THUNDERSTORM
2015-02-05 06:35:00.0,2015-02-05 07:30:00.0,KTBW,50635,WHUS52,SPECIAL MARINE
2015-02-05 06:38:00.0,2015-02-05 07:30:00.0,KTBW,50638,WHUS52,SPECIAL MARINE
2015-02-05 06:57:00.0,2015-02-05 08:00:00.0,KTBW,50657,WHUS52,SPECIAL MARINE
2015-02-05 08:36:00.0,2015-02-05 09:30:00.0,KTBW,50836,WHUS52,SPECIAL MARINE
2015-02-05 10:46:00.0,2015-02-05 11:45:00.0,KMLB,51046,WHUS52,SPECIAL MARINE
2015-02-05 12:22:00.0,2015-02-05 13:15:00.0,KMFL,51222,WHUS52,SPECIAL MARINE
